Район;Пластик;Стекло;Бумага;Металл;Батареи;Адрес;Ссылка
Курортный;да;да;;;;Сестрорецк  ул. Токарева  15;https://yandex.ru/maps/-/CCU7I4XzdA
Курортный;да;;;;;Сестрорецк  ул. Токарева  30 ;https://yandex.ru/maps/-/CCU7I4XzdA
Курортный;да;да;;да;;Сестрорецк  ул. Воскова  24;https://yandex.ru/maps/-/CCU74Hv-gC
Курортный;да;да;да;да;;Сестрорецк  ул. Воскова  9к2;https://yandex.ru/maps/-/CCU74GFdHD
Курортный;да;да;;;;Сестрорецк  ул. Воскова  5;https://yandex.ru/maps/-/CCU74GCKoB
Курортный;да;да;;да;;Сестрорецк  ул. Токарева  13А;https://yandex.ru/maps/-/CCU74KafpD
Курортный;да;;;да;;Сестрорецк  Приморское шоссе  326;https://yandex.ru/maps/-/CCU740sHpD
Курортный;да;;;;;Сестрорецк  ул. Володарского  4/2;https://yandex.ru/maps/-/CCU74HfrPC
Курортный;да;да;;да;;Сестрорецк  ул. Морская ;https://yandex.ru/maps/-/CCU74DCplD
Курортный;да;;;;;Сестрорецк  ул. Воскова  5;https://yandex.ru/maps/-/CCU748wy2C
Курортный;да;;;;да;Сестрорецк  ул. Токарева  10;https://yandex.ru/maps/-/CCU748XkGD
Курортный;;;;да;;Сестрорецк  исторический район Разлив;https://yandex.ru/maps/-/CCU74DuvkA
Курортный;да;да;да;да;;Сестрорецк  ул. Токарева  3А;https://yandex.ru/maps/-/CCU74DBxCD
Курортный;да;да;да;да;;Сестрорецк  набережная реки Сестры;https://yandex.ru/maps/-/CCU74DSSxA
Курортный;да;да;да;да;;Сестрорецк  ул. Пограничников;https://yandex.ru/maps/-/CCU74Dw78A
Курортный;да;;да;да;;Сестрорецк  ул. Борисова;https://yandex.ru/maps/-/CCU74DtPTA
Курортный;да;да;да;да;;Сестрорецк  набережная реки Сестры;https://yandex.ru/maps/-/CCU74HuT3B
Курортный;да;да;да;да;;Сестрорецк  ул. Токарева  15;https://yandex.ru/maps/-/CCU74HXNGC
Курортный;да;;;;;Сестрорецк  Ново-Гагаринская улица;https://yandex.ru/maps/-/CCU74LaFgB
Курортный;да;;;;;Сестрорецк  3-я Поперечная улица;https://yandex.ru/maps/-/CCU74LqHxD
Курортный;да;да;да;да;;Сестрорецк  исторический район Тарховка;https://yandex.ru/maps/-/CCU74LFn0B
Курортный;;;;;да;Сестрорецк  4-я линия  1/19;https://yandex.ru/maps/-/CCU74LrFpA
Курортный;да;;;;;Зеленогорск  Калиновая ул.  3;https://yandex.ru/maps/-/CCUGMIT6kD
Курортный;да;да;да;да;;Зеленогорск  Кривоносовская улица;https://yandex.ru/maps/-/CCUGMIh9XD
Курортный;да;да;;да;;Зеленогорск  просп. Ленина  21В;https://yandex.ru/maps/-/CCUGMIHwsA
Курортный;да;да;;да;;посёлок Молодёжное  ул. Правды  3;https://yandex.ru/maps/-/CCUGMMUI~D
Курортный;да;да;да;да;;посёлок Молодёжное  Солнечная улица;https://yandex.ru/maps/-/CCUGMMQV0D
Курортный;да;да;да;да;;Сестрорецк  Горская  Владимирский просп.  9;https://yandex.ru/maps/-/CCUGMIsv9A
Петроградский;да;;;;;Петровский проспект  5;https://yandex.ru/maps/-/CCUGIKUylD
Петроградский;да;да;;да;;просп. Медиков  10  корп. 1;https://yandex.ru/maps/-/CCUGIKqVGA
Петроградский;;да;;;;Каменноостровский просп.  39А;https://yandex.ru/maps/-/CCUGIKf9TD
Петроградский;;;;;да;Большой просп. Петроградской стороны  102;https://yandex.ru/maps/-/CCUGIOQolC
Петроградский;да;да;да;да;;Каменноостровский просп.  38/96;https://yandex.ru/maps/-/CCUGIOrCtB
Петроградский;да;да;да;;;Большой просп. Петроградской стороны  82Г;https://yandex.ru/maps/-/CCUGISQzkD
Петроградский;да;;;;;Каменноостровский просп.  27Г;https://yandex.ru/maps/-/CCUGISFhWD
Петроградский;да;да;да;;;Большой просп. Петроградской стороны  63В;https://yandex.ru/maps/-/CCUGISCsPD
Петроградский;да;;;;;Кронверкская ул.  15;https://yandex.ru/maps/-/CCUGISgq0A
Петроградский;да;;;;;ул. Мира  5;https://yandex.ru/maps/-/CCUGISghlD
Петроградский;да;;;;;Большая Посадская ул.  24/2П;https://yandex.ru/maps/-/CCUGISTATD
Петроградский;да;да;;да;;Малая Посадская ул.  21Ж;https://yandex.ru/maps/-/CCUGISdepB
Петроградский;да;;да;;;Малая Посадская ул.  13  корп. 3;https://yandex.ru/maps/-/CCUGIStGwD
Петроградский;да;да;;;;ул. Куйбышева  23  корп. 1;https://yandex.ru/maps/-/CCUGIWA-OB
Петроградский;да;да;да;;;ул. Куйбышева  10;https://yandex.ru/maps/-/CCUGIWUUgB
Петроградский;да;да;;да;;просп. Добролюбова  5/1  корп. 2Б;https://yandex.ru/maps/-/CCUGIWBE8A
Петроградский;да;;;да;;ул. Блохина  3/1;https://yandex.ru/maps/-/CCUGIWVTxB
Петроградский;да;да;да;;;просп. Добролюбова  25;https://yandex.ru/maps/-/CCUGIWCH8D
Петроградский;да;;;;;Татарский пер.  12-14;https://yandex.ru/maps/-/CCUGIWWAkD
